,id,regionname,countryname,projectstatusdisplay,last_stage_reached_name,project_name,pdo,impagency,cons_serv_reqd_ind,url,boardapprovaldate,closingdate,projectfinancialtype,curr_project_cost,curr_ibrd_commitment,curr_ida_commitment,curr_total_commitment,grantamt,borrower,lendinginstr,envassesmentcategorycode,esrc_ovrl_risk_rate,sector1,sector2,sector3,theme1,theme2
1,P502499,South Asia,Republic of India,Pipeline,,Surat Resilience Enhancement Project,,,,http://projects.worldbank.org/P502499/null?lang=en,,,,0,0,0,0,,,Investment Project Financing,,,,,,,
4,P502491,South Asia,Republic of India,Pipeline,,Haryana Clean Air and Sustainable Development Program,,,,http://projects.worldbank.org/P502491/null?lang=en,,,,0,0,0,0,,,Program-for-Results Financing,,,,,,,
9,P502223,South Asia,Republic of India,Pipeline,,DRIP-3,,,,http://projects.worldbank.org/P502223/null?lang=en,,,,0,0,0,0,,,Investment Project Financing,,,,,,,
36,P501071,South Asia,Republic of India,Pipeline,,RSHDP Phase-2,,,,http://projects.worldbank.org/P501071/null?lang=en,,,,0,0,0,0,,,Investment Project Financing,,,,,,,
60,P500564,South Asia,Republic of India,Pipeline,,Punjab Outcomes-Acceleration In School Education Operation,,,,http://projects.worldbank.org/P500564/null?lang=en,,,,0,0,0,0,,,Program-for-Results Financing,,,,,,,
68,P500523,South Asia,Republic of India,Pipeline,,Meghalaya - Enhancing Governance and Service Delivery Capability,,,,http://projects.worldbank.org/P500523/null?lang=en,,,,0,0,0,0,,,Program-for-Results Financing,,,,,,,
85,P500380,South Asia,Republic of India,Pipeline,,JSDF Supporting Socioeconomic Development and Livelihood Security among Particularly Vulnerable Tribal Groups,,,,http://projects.worldbank.org/P500380/null?lang=en,,,,0,0,0,0,,,Investment Project Financing,,,,,,,
125,P181463,South Asia,Republic of India,Pipeline,,Maharashtra District Growth and Institutional Capabilities Program,To strengthen institutional capabilities for accelerating inclusive economic growth and improving service delivery in the districts of Maharashtra.,"Planning Department, Government of Maharashtra",TBD,http://projects.worldbank.org/P181463/null?lang=en,,,,268970000,188280000,0,188280000,,India,Program-for-Results Financing,,,,,,,
198,P181244,South Asia,Republic of India,Pipeline,,India-West Bengal Health System Reform Program,"To improve utilization of health services, enhance quality of care and reduce inequities in maternal and adolescent health in West Bengal",Government of West Bengal,,http://projects.worldbank.org/P181244/null?lang=en,,,,1200000000,315000000,0,315000000,,Ministry of Finance,Program-for-Results Financing,,,,,,,
214,P181195,South Asia,Republic of India,Pipeline,Concept Review,Second Low-Carbon Energy Programmatic Development Policy Financing,To accelerate the development of low-carbon energy in India.,Ministry of New and Renewable Energy,,http://projects.worldbank.org/P181195/null?lang=en,,,,1500000000,1500000000,0,1500000000,,India,Development Policy Lending,,,,,,,
256,P181032,South Asia,Republic of India,Active,Bank Approved,First Low-Carbon Energy Programmatic Development Policy Loan,To accelerate the development of low-carbon energy in India.,Ministry of New and Renewable Energy,,http://projects.worldbank.org/P181032/null?lang=en,2023-06-29T00:00:00Z,2023-12-31,IDA,1500000000,1443430000,56570000,1500000000,,India,Development Policy Lending,,,Renewable Energy Hydro,Renewable Energy Wind,Renewable Energy Solar,,
263,P181020,South Asia,Republic of India,Pipeline,Concept Review,"Gurugram Metro Huda to Cyber City, Haryana",The PDO is to improve accessibility in the Gurugram Metropolitan Area and increase the financial sustainability of Gurugram Metrorail network.,Haryana Mass Rapid Transport Corporation Limited (HMRTC),,http://projects.worldbank.org/P181020/null?lang=en,,,,131000000,131000000,0,131000000,,Government of India,Investment Project Financing,,High,,,,,
284,P180932,South Asia,Republic of India,Pipeline,Concept Review,Strengthening Coastal Resilience and the Economy,"Increase coastal protection and conservation, enhance livelihood benefits, and reduce marine pollution in coastal communities of Karnataka and Tamil Nadu.","Government of Karnataka, Government of Tamil Nadu",Y,http://projects.worldbank.org/P180932/null?lang=en,,,,240000000,369710000,0,369710000,,India,Investment Project Financing,,Substantial,,,,,
343,P180716,South Asia,Republic of India,Pipeline,,Promoting Green Hydrogen in India,To increase the green hydrogen production and deployment in India and support the National Green Hydrogen Mission.,Ministry of New and Renewable Energy,,http://projects.worldbank.org/P180716/null?lang=en,,,,4800000000,1000000000,0,1000000000,,Ministry of Finance,Program-for-Results Financing,,,,,,,
347,P180699,South Asia,Republic of India,Pipeline,Concept Review,Realizing Economic Success Through Protection and Enhanced Careers in Tamil Nadu,The Program Development Objective is to improve women access to quality jobs  in non-farm and emerging sectors.,Social Welfare & Women Empowerment Department,,http://projects.worldbank.org/P180699/null?lang=en,,,,430000000,150000000,0,150000000,,India,Program-for-Results Financing,,,,,,,
359,P180672,South Asia,Republic of India,Pipeline,,Assam Disaster Resilient Hill Roads Development Project,The project development objective is to develop disaster resilient roads and stimulate green and inclusive growth in hill areas of Assam.,,TBD,http://projects.worldbank.org/P180672/null?lang=en,,,,500000000,400000000,0,400000000,,India,Investment Project Financing,,,,,,,
370,P180634,South Asia,Republic of India,Pipeline,Decision Meeting,Sikkim: Integrated Service Provision and Innovation for Reviving Economies Program,The PDO is to promote economic inclusion opportunities for women and youth in non-farm sectors.,"Planning and Development Department, Government of Sikkim",,http://projects.worldbank.org/P180634/null?lang=en,,,,100000000,100000000,0,100000000,,India,Program-for-Results Financing,,,,,,,
542,P179935,South Asia,Republic of India,Pipeline,Begin Appraisal,Enhancing Landscape and Ecosystem Management Project,Improve landscape management and increase benefits for targeted forest dependent communities in Tripura and Nagaland.,"Government of Tripura, Government of Nagaland, Ministry of Development of North Eastern Region",,http://projects.worldbank.org/P179935/null?lang=en,,,,85000000,242000000,0,242000000,,India,Investment Project Financing,,Substantial,,,,,
580,P179749,South Asia,Republic of India,Pipeline,Concept Review,Uttarakhand Disaster Preparedness and Resilience Project,"To enhance the climate and disaster resilience of select critical public infrastructure in Uttarakhand and strengthen the capacity of the State Government to respond to emergencies, including fires.","Uttarakhand State Disaster Management Authority, Government of Uttarakhand",Y,http://projects.worldbank.org/P179749/null?lang=en,,,,200000000,160000000,0,160000000,,Government of India,Investment Project Financing,,Substantial,,,,,
586,P179725,South Asia,Republic of India,Pipeline,Concept Review,India: Coastal Climate Adaptation Program (C-CAP),The Project Development Objective is to reduce vulnerability of coastal communities to cyclone and other hydro-meteorological hazards in the target states and enhance the knowledge base for systemic coastal resilience.,National Disaster Management Authority,Y,http://projects.worldbank.org/P179725/null?lang=en,,,,100000000,90000000,0,90000000,,Department of Economic Affairs,Investment Project Financing,,Moderate,,,,,
620,P179548,South Asia,Republic of India,Dropped,Concept Review,Enhancing Landscape and Ecosystem Management - Tripura,"The project development objective is to improve landscape management and increase environmental and economic benefits for targeted f orest dependent communities in Tripura,","Forest department, Government of Tripura",Y,http://projects.worldbank.org/P179548/null?lang=en,,,,216000000,172000000,0,172000000,,"Government of Tripura, Forest Department",Investment Project Financing,,Substantial,,,,,
